Distancia,Run,MesmoCanal,FlowId,Origem,Destino,PacotesEnviados,PacotesRecebidos,PacotesPerdidos,TaxaPerda,ThroughputMbps,AtrasoMedioMs
2,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
2,5,1,1,192.168.1.1,192.168.1.2,40000,35876,4124,10.31,28.059,1.68717
2,5,1,2,192.168.2.1,192.168.2.2,40000,37367,2633,6.5825,29.4027,1.40309
2,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
2,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
2,6,1,1,192.168.1.1,192.168.1.2,40000,36645,3355,8.3875,28.7997,1.52344
2,6,1,2,192.168.2.1,192.168.2.2,40000,36937,3063,7.6575,28.8838,1.54323
2,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
2,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
2,7,1,1,192.168.1.1,192.168.1.2,40000,37078,2922,7.305,29.0957,1.52911
2,7,1,2,192.168.2.1,192.168.2.2,40000,36290,3710,9.275,28.2807,1.5807
2,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
2,8,0,2,192.168.2.1,192.168.2.2,40000,39962,38,0.095,42.0374,0.000678519
2,8,1,1,192.168.1.1,192.168.1.2,40000,37133,2867,7.1675,28.9819,1.47355
2,8,1,2,192.168.2.1,192.168.2.2,40000,36344,3656,9.14,28.4327,1.61347
2,9,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.064,0.000679376
2,9,0,2,192.168.2.1,192.168.2.2,40000,39953,47,0.1175,42.0287,0.000678096
2,9,1,1,192.168.1.1,192.168.1.2,40000,36305,3695,9.2375,28.3072,1.65008
2,9,1,2,192.168.2.1,192.168.2.2,40000,37084,2916,7.29,29.3071,1.4481
2,10,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.0648,0.000679354
2,10,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0696,0.000675449
2,10,1,1,192.168.1.1,192.168.1.2,40000,36488,3512,8.78,28.4754,1.51175
2,10,1,2,192.168.2.1,192.168.2.2,40000,36804,3196,7.99,28.8511,1.59508
3,1,0,1,192.168.1.1,192.168.1.2,40000,39967,33,0.0825,42.0432,0.000678764
3,1,0,2,192.168.2.1,192.168.2.2,40000,39997,3,0.0075,42.0749,0.000675959
3,1,1,1,192.168.1.1,192.168.1.2,40000,36860,3140,7.85,28.9701,1.55984
3,1,1,2,192.168.2.1,192.168.2.2,40000,37503,2497,6.2425,30.0109,1.37009
3,2,0,1,192.168.1.1,192.168.1.2,40000,39983,17,0.0425,42.0599,0.000675727
3,2,0,2,192.168.2.1,192.168.2.2,40000,39983,17,0.0425,42.0591,0.00067976
3,2,1,1,192.168.1.1,192.168.1.2,40000,37392,2608,6.52,29.3973,1.43085
3,2,1,2,192.168.2.1,192.168.2.2,40000,36978,3022,7.555,29.022,1.51111
3,3,0,1,192.168.1.1,192.168.1.2,40000,39962,38,0.095,42.0342,0.000678985
3,3,0,2,192.168.2.1,192.168.2.2,40000,39968,32,0.08,42.0445,0.00067963
3,3,1,1,192.168.1.1,192.168.1.2,40000,37102,2898,7.245,29.0467,1.5261
3,3,1,2,192.168.2.1,192.168.2.2,40000,37354,2646,6.615,29.7442,1.43407
3,4,0,1,192.168.1.1,192.168.1.2,40000,39978,22,0.055,42.054,0.000679774
3,4,0,2,192.168.2.1,192.168.2.2,40000,39993,7,0.0175,42.0704,0.000677551
3,4,1,1,192.168.1.1,192.168.1.2,40000,37345,2655,6.6375,29.2502,1.45451
3,4,1,2,192.168.2.1,192.168.2.2,40000,37164,2836,7.09,29.1534,1.49761
3,5,0,1,192.168.1.1,192.168.1.2,40000,39951,49,0.1225,42.0233,0.000681018
3,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
3,5,1,1,192.168.1.1,192.168.1.2,40000,37218,2782,6.955,29.1596,1.46128
3,5,1,2,192.168.2.1,192.168.2.2,40000,37261,2739,6.8475,29.1466,1.49072
3,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
3,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
3,6,1,1,192.168.1.1,192.168.1.2,40000,37355,2645,6.6125,29.4424,1.39366
3,6,1,2,192.168.2.1,192.168.2.2,40000,37105,2895,7.2375,29.1207,1.53831
3,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
3,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
3,7,1,1,192.168.1.1,192.168.1.2,40000,37359,2641,6.6025,29.3468,1.43169
3,7,1,2,192.168.2.1,192.168.2.2,40000,36874,3126,7.815,28.986,1.51229
3,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
3,8,0,2,192.168.2.1,192.168.2.2,40000,39962,38,0.095,42.0374,0.000678519
3,8,1,1,192.168.1.1,192.168.1.2,40000,37333,2667,6.6675,29.4996,1.48879
3,8,1,2,192.168.2.1,192.168.2.2,40000,36983,3017,7.5425,29.0663,1.45663
3,9,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.064,0.000679376
3,9,0,2,192.168.2.1,192.168.2.2,40000,39953,47,0.1175,42.0287,0.000678096
3,9,1,1,192.168.1.1,192.168.1.2,40000,36775,3225,8.0625,28.9218,1.55666
3,9,1,2,192.168.2.1,192.168.2.2,40000,37440,2560,6.4,30.125,1.37701
3,10,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.0648,0.000679354
